measured,latency_ns,http_status,error_code,trade_id
false,77221084,200,,903
false,112958875,200,,892
false,10492458,200,,904
false,125642875,200,,806
false,80221500,200,,907
false,85002708,200,,905
false,80876542,200,,908
false,88225208,200,,909
false,81989667,200,,910
false,83887542,200,,911
false,83846667,200,,912
false,13130708,200,,913
false,172034542,200,,906
false,85974292,200,,914
false,149987958,200,,915
false,88577416,200,,916
false,77384000,200,,851
false,91414958,200,,919
false,80914917,200,,917
false,146326250,200,,920
false,224016417,200,,923
false,41619875,200,,928
false,10442167,200,,927
false,47217292,200,,925
false,90779459,200,,921
false,101373500,200,,918
false,69797958,200,,922
false,180734750,200,,926
false,12664875,200,,929
false,155635916,200,,924
false,92228958,200,,933
false,86914666,200,,934
false,82028292,200,,935
false,92388208,200,,932
false,93056500,200,,930
false,95947334,200,,931
false,128631834,200,,947
false,122594250,200,,956
false,323147792,200,,972
false,117163500,200,,961
false,144554000,200,,939
false,67442208,200,,1017
false,220028333,200,,988
false,87886000,200,,1002
false,106857167,200,,974
false,149059417,200,,942
false,87404417,200,,996
false,84292542,200,,1010
false,67503958,200,,1019
false,155581625,200,,1013
false,67729792,200,,944
false,82569459,200,,1006
false,286898125,200,,938
false,120593542,200,,957
false,107197250,200,,975
false,85027375,200,,1005
false,156039000,200,,937
false,173671833,200,,976
false,98652959,200,,948
false,113302041,200,,984
false,102997667,200,,981
false,112394125,200,,970
false,76589541,200,,1018
false,67799250,200,,959
false,137555875,200,,954
false,68242667,200,,950
false,120813917,200,,963
false,124109042,200,,968
false,96202709,200,,997
false,204087333,200,,1014
false,231605541,200,,993
false,87707000,200,,1004
false,87880750,200,,999
false,115434917,200,,966
false,68319833,200,,955
false,138639333,200,,940
false,326732750,200,,967
false,77343667,200,,1012
false,104849917,200,,977
false,143986291,200,,953
false,321184708,200,,958
false,174397709,200,,998
false,89710125,200,,1001
false,118003250,200,,971
false,111583875,200,,973
false,110396917,200,,982
false,93789833,200,,990
false,205712291,200,,945
false,127599708,200,,960
false,256762834,200,,979
false,100747292,200,,985
false,98987584,200,,992
false,157764334,200,,941
false,82024916,200,,1009
false,70174542,200,,946
false,155717125,200,,1007
false,120267958,200,,962
false,206306042,200,,1016
false,87442208,200,,1011
false,103934750,200,,1003
false,155198584,200,,951
false,99970167,200,,991
false,132551458,200,,964
false,100099958,200,,989
false,253018709,200,,1015
false,97377542,200,,986
false,150088584,200,,952
false,86635458,200,,1008
false,175373250,200,,980
false,160415125,200,,936
false,175519791,200,,995
false,137348792,200,,949
false,99707875,200,,994
false,130763000,200,,978
false,72681333,200,,965
false,173854333,200,,1000
false,117705916,200,,969
false,105327916,200,,987
false,115201333,200,,983
false,35205916,200,,1054
false,34813250,200,,1042
false,34865333,200,,1041
false,35113292,200,,1043
false,36059042,200,,1038
false,35579000,200,,1044
false,36210375,200,,1031
false,35978208,200,,1059
false,36330500,200,,1032
false,52193959,200,,1050
false,52276625,200,,1053
false,51619417,200,,1071
false,52440834,200,,1055
false,52107000,200,,1051
false,52336875,200,,1067
false,51454958,200,,1073
false,51960792,200,,1070
false,50139208,200,,1049
false,52543750,200,,1069
false,51561584,200,,1066
false,53430958,200,,1046
false,53595917,200,,1036
false,53641959,200,,1061
false,53679541,200,,1057
false,52327083,200,,1058
false,52258292,200,,1037
false,53753625,200,,1052
false,53756667,200,,1056
false,52012709,200,,1072
false,53032959,200,,1074
false,53677042,200,,1060
false,53008167,200,,1047
false,55018625,200,,1079
false,52713208,200,,1065
false,52542209,200,,1077
false,53518084,200,,1076
false,53753541,200,,1064
false,55928792,200,,1075
false,61050125,200,,1068
false,192090041,200,,1025
false,124498333,200,,1035
false,58932917,200,,1080
false,164198417,200,,1027
false,66118458,200,,1030
false,128738625,200,,1020
false,195300375,200,,1022
false,61470333,200,,1063
false,128825083,200,,943
false,195139333,200,,1029
false,59017459,200,,1084
false,62576541,200,,1062
false,66689041,200,,1040
false,206213125,200,,1021
false,125247000,200,,1034
false,125433750,200,,1045
false,125473500,200,,1039
false,193929875,200,,1023
false,126219416,200,,1033
false,61159542,200,,1081
false,283407458,200,,1024
false,67550792,200,,1078
false,61513250,200,,1083
false,140117250,200,,1026
false,61536750,200,,1082
false,191823209,200,,1028
false,69595209,200,,1095
false,70248125,200,,1093
false,70244750,200,,1094
false,70040292,200,,1092
false,51346458,200,,1132
false,105333583,200,,1110
false,51116542,200,,1131
false,69570167,200,,1102
false,70063000,200,,1114
false,104457209,200,,1090
false,104551084,200,,1133
false,51954417,200,,1107
false,104251583,200,,1086
false,52344834,200,,1126
false,104413250,200,,1108
false,101539375,200,,1096
false,168946500,200,,1099
false,106128334,200,,1109
false,70873625,200,,1125
false,70555625,200,,1106
false,104670042,200,,1085
false,104757583,200,,1088
false,106159834,200,,1118
false,106089125,200,,1048
false,103728958,200,,1089
false,70851167,200,,1105
false,53324000,200,,1087
false,101000458,200,,1115
false,103254125,200,,1104
false,103288291,200,,1113
false,103674291,200,,1097
false,103630542,200,,1121
false,104302000,200,,1101
false,103878791,200,,1120
false,104569625,200,,1112
false,104481375,200,,1119
false,104804083,200,,1098
false,104936334,200,,1111
false,105611542,200,,1116
false,105918291,200,,1117
false,105365708,200,,1100
false,105477416,200,,1103
false,109180584,200,,1091
false,66591125,200,,1149
false,69768750,200,,1154
false,69087667,200,,1152
false,45388750,200,,1180
false,45948458,200,,1177
false,89821375,200,,1153
false,97054500,200,,1144
false,88083333,200,,1172
false,98096333,200,,1160
false,98836250,200,,1127
false,88984375,200,,1178
false,98173250,200,,1130
false,99216041,200,,1128
false,90881791,200,,1167
false,98372250,200,,1151
false,91826875,200,,1155
false,99402334,200,,1134
false,98612333,200,,1139
false,100067917,200,,1141
false,98487750,200,,1142
false,92829625,200,,1163
false,91865958,200,,1157
false,98753334,200,,1146
false,152885167,200,,1135
false,100310125,200,,1143
false,93068334,200,,1169
false,119360084,200,,1122
false,93711833,200,,1158
false,100287375,200,,1145
false,93036750,200,,1170
false,100863708,200,,1159
false,49262708,200,,1164
false,93722791,200,,1162
false,100457500,200,,1147
false,101779416,200,,1137
false,93855833,200,,1150
false,101536167,200,,1129
false,120605084,200,,1123
false,102311542,200,,1136
false,101613125,200,,1166
false,50451917,200,,1182
false,50581708,200,,1168
false,101698500,200,,1138
false,120913500,200,,1124
false,102140375,200,,1148
false,50698666,200,,1171
false,95465417,200,,1165
false,50947125,200,,1176
false,95413500,200,,1179
false,101835167,200,,1140
false,82072833,200,,1175
false,95816834,200,,1156
false,81774625,200,,1173
false,95644042,200,,1161
false,52040583,200,,1181
false,102126875,200,,1174
false,111100208,200,,1184
false,68634583,200,,1187
false,141285166,200,,1194
false,114768209,200,,1192
false,116337333,200,,1185
false,74293833,200,,1191
false,73627916,200,,1186
false,73839791,200,,1197
false,117802375,200,,1195
false,181865000,200,,1196
false,76562875,200,,1183
false,74034584,200,,1203
false,73592000,200,,1206
false,120952250,200,,1198
false,120346792,200,,1193
false,73900959,200,,1202
false,75076667,200,,1201
false,74527000,200,,1199
false,78220667,200,,1188
false,75870167,200,,1200
false,78070459,200,,1189
false,36878833,200,,1214
false,40865291,200,,1230
false,44254459,200,,1217
false,44250459,200,,1225
false,42107833,200,,1229
false,44040833,200,,1218
false,44303125,200,,1221
false,41282166,200,,1228
false,41962459,200,,1227
false,45464917,200,,1220
false,44669833,200,,1219
false,44052791,200,,1222
false,41371375,200,,1226
false,88670666,200,,1208
false,92826209,200,,1205
false,42649666,200,,1231
false,89354583,200,,1209
false,93604708,200,,1190
false,89609125,200,,1224
false,89606583,200,,1210
false,93657541,200,,1204
false,42524958,200,,1232
false,70703875,200,,1213
false,93571500,200,,1207
false,68692458,200,,1212
false,124585708,200,,1211
false,125075125,200,,1215
false,136569750,200,,1216
false,45444458,200,,1234
false,45250291,200,,1233
false,33139292,200,,1235
false,56053125,200,,1236
false,28069333,200,,1239
false,55806000,200,,1237
false,14264000,200,,1238
false,58313000,200,,1241
false,14518166,200,,1240
false,59489083,200,,1223
false,31048458,200,,1242
false,104918667,200,,1243
false,84444167,200,,1244
false,62043167,200,,1245
false,60574459,200,,1246
false,18605209,200,,1247
false,66344625,200,,1249
false,167999583,200,,1250
false,68840958,200,,1251
false,26074625,200,,1248
false,69176208,200,,1253
false,71404500,200,,1252
false,72780208,200,,1255
false,14112209,200,,1256
false,14989625,200,,1254
false,71506583,200,,1257
false,70461917,200,,1259
false,71909709,200,,1258
false,14412166,200,,1261
false,75737417,200,,1260
false,12543375,200,,1262
false,17619375,200,,1263
false,10726375,200,,1264
false,82879875,200,,1265
false,79182750,200,,1266
false,12750875,200,,1268
false,14591500,200,,1267
false,12073583,200,,1269
false,82648042,200,,1270
false,14486458,200,,1273
false,16003583,200,,1275
false,13579750,200,,1274
false,15753667,200,,1272
false,16446208,200,,1271
